,Year,Date,District,Address,Building,Cause
0,2018,05-14,North Point,Island Place,Block 2,A man fell off the building and died
1,2018,05-10,Diamond Hill,Lung Poon Court,Lung Woo House,A woman burnt charcoal at home
2,2018,05-10,Tseung Kwan O,Sheung Tak Estate,Sheung Ming House,32 years old man fell off the building and died
3,2018,05-10,Ma On Shan,Lei On Court,Lei Wing House,A 60 years old woman fell off the building and died
4,2018,05-09,Tsuen Wan,Tsuen Wan Centre,Shenyang House,A woman burnt charcoal at home
5,2018,05-09,Fo Tan,Sui Wo Court,Court C,70 years old man fell off the building and died
6,2018,05-06,Tai Po,Fu Shing Building,,14 years old man fell off the building and died
7,2018,05-03,Tin Shui Wai,Tin Yat Estate,Yat Yeung Court,50 years old man fell off the building and died
8,2018,04-28,Tuen Mun,Siu Shan Court,Kwai King Court,37 years old man fell off the building and died
9,2018,04-25,Shatin,Scenery Court,,A woman fell off the building and died
10,2018,04-19,Yuen Long,La Grove,Block 5,A man and a woman burnt charcoal and died at home
11,2018,04-18,Tsuen Wan,Discovery Park,Block 7,A man fell off the building and died
12,2018,04-17,Cheung Sha Wan,Un Chau Estate,Un Lok House,A man hanged himself and found dead
13,2018,04-15,Kwun Tong,Tsui Ping Estate,Tsui Ying House,A man fell off the building and died
14,2018,04-15,Tung Chung,Yat Tung Estate,,A man fell off the building and died
15,2018,04-14,Tsing Yi,,Block 10,A man fell off the building and died
16,2018,04-14,Tuen Mun,Century Gateway,,A woman fell off the building and died
17,2018,04-12,Tsing Yi,Rambler Crest,Block 3,A 50 years old woman fell off the building and died
18,2018,04-12,Cheung Sha Wan,The Pacifica,,A woman fell off the building and died
19,2018,04-09,Hung Hom,145-163 Bulkeley Street,,A man hanged himself and found dead
20,2018,04-08,Tuen Mun,Kin Sang Estate,Yue Shan House,A woman hanged herself and found dead
21,2018,04-06,Yuen Long,Long Ping Estate,Kam Ping House,A man fell off the building and died
22,2018,04-05,Yuen Long,Hung Fuk Estate,Hung Lok House,25 years old man fell off the building and died
23,2018,04-05,Tai Po,Tai Yuen Estate,Tai Yi House,A man hanged himself and found dead
24,2018,04-05,Tai Po,Tai Yuen Estate,Tai Lok House,A woman fell off the building and died
25,2018,03-31,Kwun Tong,Shun Tin Estate,Tin Chu House,A man fell off the building and died
26,2018,03-30,Tin Shui Wai,Kingswood Villas,Kenswood Court,A woman burnt charcoal at home
27,2018,03-28,Tseung Kwan O,On Ning Garden,Block 6,A woman fell off the building and died
28,2018,03-28,Ma On Shan,Saddle Ridge Garden,Block 11,A woman fell off the building and died
29,2018,03-25,Ma On Shan,La Costa,,A woman burnt charcoal at home
30,2018,03-23,Wong Tai Sin,Fung Tak Estate,Suet Fung House,A woman fell off the building and died
31,2018,03-19,Ho Man Tin,Oi Man Estate,Chiu Man House,A woman fell off the building and died
32,2018,03-18,Shatin,Shek Mun Estate,Kin Shek House,A woman burnt charcoal at home
33,2018,03-17,Hung Hom,Hung Hom Estate,Hung Yeuk House,A woman fell off the building and died
34,2018,03-17,Diamond Hill,Galaxia ,Block D,A man fell off the building and died
35,2018,03-17,Cheung Sha Wan,Banyan Garden,,A woman fell off the building and died
36,2018,03-17,Sheung Wan,187 Hollywood Road,,A foreginer fell off the building and died
37,2018,03-17,Olympic Station,One Silver Sea,Tower 1,A man fell off the building and died
38,2018,03-14,Kwai Chung,Wonderland Villas,Tower 10,A man fell off the building and died
39,2018,03-14,Kennedy Town,Kwun Lung Lau,,61 years old man cut his neck and fell off the building
40,2018,03-13,Aberdeen,Wah Fu Estate,Wah Hong House,A man fell off the building and died
41,2018,03-11,Lok Fu,Fu Keung Court,Fu Ning House,A man fell off the building and died
42,2018,03-10,Tseung Kwan O,Choi Ming Court,Choi Ming House,A man hanged himself and found dead
43,2018,03-09,Siu Sai Wan,Siu Sai Wan Estate,Shui Fook House,66 years old man fell off the building and died
44,2018,03-09,Ap Lei Chau,Lei Tung Estate,Tung On House,A man hanged himself and found dead
45,2018,03-08,Chai Wan,Oi Man Estate,Hing Chui House,40 years old lady fell from the building and died
46,2018,03-07,Tin Shui Wai,Tin Tsz Estate,Tsz Ping House,A man hanged himself and found dead
47,2018,02-28,Kwai Chung,Kwai Chung Plaza,Block 3,16 years old girl fell from the building and died
48,2018,02-27,Kwai Chung,Shek LeI Estate Two,Shek Wai House,52 years old man fell off the building and died
49,2018,02-25,Quarry Bay,Parkvale,Shui Pak House,52 years old man fell off the building and died
50,2018,02-24,Siu Sai Wan,Siu Sai Wan Estate,Sui Fat House,46 years old lady fell from the building and died
51,2018,02-24,Kwun Tong,Lok Wah Estate North,Ning Wah House,A woman fell off the building and died
52,2018,02-22,Tin Shui Wai,Tin Wah Estate,Wah Yuet House,78 years old man was burnt to death
53,2018,02-21,Diamond Hill,Grand View Garden,,79 years old woman hanged himself at home
54,2018,02-21,Tai Po,Fu Shin Estate,,33 years old man fell off the building and died
55,2018,02-20,Aberdeen,Aberdeen Centre,,56 years old man fell off the building and died
56,2018,02-20,Shum Shui Po,,Eastland Towers,54 years old man fell off the building and died
57,2018,02-20,Tuen Mun,Kingston Terrance,Block 3,50 years old lady fell from the building and died
58,2018,02-19,Kowloon Bay,Choi Tak Estate,Choi Shun Lau,A man burnt charcoal at home
59,2018,02-17,Tai Po,Po Nga Court,Yat Wo Court,A woman burnt charcoal at home
60,2018,02-14,Kwun Tong,,Yik Lei Building,A woman fell off the building and died
61,2018,02-13,Kwun Tong,Sau Mau Ping Estate,Sau Fai House,66 years old woman died by dense smoke
62,2018,01-30,Yau Tong,Lei Yue Mun Estate,Lei Wong House,A man hanged himself at home
63,2018,01-29,Sha Tin,Kwong Yuen Estate,Kwong Pak House,A woman fell off the building and died
64,2018,01-26,Tsuen Wan,Lei Muk Shue Estate,Lok Shue House,A woman fell off the building and died
65,2018,01-24,Tsuen Wan,Lei Muk Shue (II) Estate,Kwai Shue House,24 years old man was found death at home
66,2018,01-23,Tuen Mun,Tsui Ning Garden,,34 years old woman fell off the building due to financial problem
67,2018,01-23,Tai Po,Wan Tau Tong Estate,Wan Hang House,A woman fell off the building and died
68,2018,01-21,Yau Tong,Yau Lai Estate,Yung Lai House,A man burnt charcoal at home
69,2018,01-20,Wong Tai Sin,Chuk Yuen (North) Estate,Mui Yuen House,A man fell off the building and died
70,2018,01-18,Cheung Sha Wan,Un Chau Estate,Un Yat House,82 years old man hanged himself at home
71,2018,01-16,Kwun Tong,Wo Lok Estate,Kin On House,A man hanged himself at home
72,2018,01-14,Tung Chung,Yat Tung Estate,Ching Yat House,20 years old man fell off the building and died
73,2018,01-14,Tuen Mun,Lung Yat Estate,Hong Lung House,A man fell off the building after killed his wife
74,2018,01-11,Tuen Mun,Leung King Estate,Leung Shui House,48 years old woman was burnt to death
75,2018,01-11,Sham Shui Po,Fu Cheong Estate,Fu Yuet House,30 years old man burnt charcoal at home
76,2018,01-11,Sau Mau Ping,Shun Tin Estate,Tin Kuen House,70 years old man fell off the building due to health problem
77,2018,01-07,Tai Wai,,Julimount Garden Block 3,29 years old man was found dead at home
78,2018,01-04,Wong Tai Sin,Tin Ma Court,Chun Sing House,50 years old man fell from his apartment and died
79,2018,01-04,Shau Kei Wan,Oi Tung Estate,Oi Ping House,55 years old woman fell off the building and died
80,2018,01-03,Tuen Mun,Shan King Estate,King Lai House,80 years old lady fell from the building and died
81,2018,01-03,Kwai Chung,,,A man fell off the building and died
82,2018,01-03,Kowloon Bay,Kai Ching Estate,Hong Ching House,A man fell off the building and died
83,2018,01-02,Tsz Wan Shan,Tsz Hong Estate,Hong Tim House,17 years old teenager fell off the building due life and academic pressures
84,2018,01-02,Tuen Mun,Leung King Estate,Leung Wai House,14 years old student jumped off the building due to academic pressure
85,2018,01-01,Sheung Shui,Choi Yuen Estate,Choi Ping House,A man was found dead at home
86,2017,12-29,Mui Wo,,Mui Wo Building,A man burnt charcoal at home
87,2017,12-29,Tsing Yi,Cheung Ching Estate,Ching Mui House,60 years old man fell off the building and died
88,2017,12-24,Wong Tai Sin,Fung Tak Estate,Toi Fung House,50 years old woman was died at home
89,2017,12-22,Mong Kok,Hoi Fu Court,Hoi Yu House,80 years old lady jumped off from the apartment due to health problem
90,2017,12-21,Mong Kok,,King Hing Building,24 years old man burnt charcoal at home
91,2017,12-16,Sha Tin,Kwong Lam Court,Fook Lam House,35 years old immigrant woman fell off the building and died
92,2017,12-16,Wong Tai Sin,Tung Tau Estate,On Tung House,25 years old man fell off the building and died
93,2017,12-16,Sheung Shui,Ying Pun Tsuen,,48 years old man burnt charcoal at home
94,2017,12-15,Sham Shui Po,Lei Cheng Uk Estate,Lim Kit House,A woman fell off the building and died
95,2017,12-15,Tsing Yi,Cheung Hong Estate,Hong Cheung House,A woman fell off the building and died
96,2017,12-14,North Point,,73-91 Chun Yeung Street,58 years old man hanged himself at home
